Year,Player,Pos,Age,Tm,all_star,championship,PER,FG,3P,2P,FT,AST,STL,BLK,TOV,PTS
2014,Josh Childress,SF,30,NOP,0,0,3.9,0,0,0,0,2,1,0,1,0
2014,Dionte Christmas,SF,27,PHO,0,0,11.1,22,9,13,18,8,2,3,6,71
2014,Earl Clark,PF,26,TOT,0,0,9.1,97,41,56,22,18,17,25,31,257
2014,Earl Clark,PF,26,CLE,0,0,8.6,90,40,50,14,16,16,19,30,234
2014,Earl Clark,PF,26,NYK,0,0,13.5,7,1,6,8,2,1,6,1,23
2014,Ian Clark,SG,22,UTA,0,0,9.2,26,11,15,5,15,8,2,14,68
2014,Victor Claver,SF,25,POR,0,0,8.8,17,3,14,10,12,3,3,11,47
2014,Norris Cole,PG,25,MIA,0,0,8.8,207,60,147,53,248,77,5,127,527
2014,Jason Collins,C,35,BRK,0,0,4.1,11,0,11,3,4,8,1,7,25
2014,Darren Collison,PG,26,LAC,0,0,16.2,324,71,253,192,297,93,15,132,911
2014,Nick Collison,PF,33,OKC,0,0,11.8,134,4,130,66,104,30,28,71,338
2014,Mike Conley,PG,26,MEM,0,0,20,463,105,358,225,441,110,13,150,1256
2014,Chris Copeland,SF,29,IND,0,0,17.6,55,33,22,10,18,3,7,14,153
2014,DeMarcus Cousins,C,23,SAC,0,0,26.1,591,0,591,432,207,109,91,251,1614
2014,Robert Covington,SF,23,HOU,0,0,15,6,4,2,0,0,2,0,1,16
2014,Allen Crabbe,SG,21,POR,0,0,7.7,12,6,6,3,6,2,1,3,33
2014,Jamal Crawford,SG,33,LAC,0,0,17.3,421,161,260,279,223,59,12,135,1282
2014,Jordan Crawford,SG,25,TOT,0,0,14.3,327,90,237,146,281,47,5,134,890
2014,Jordan Crawford,SG,25,BOS,0,0,15.7,188,50,138,110,224,34,3,84,536
2014,Jordan Crawford,SG,25,GSW,0,0,11.9,139,40,99,36,57,13,2,50,354
2014,Jae Crowder,SF,23,DAL,0,0,11.9,130,50,80,46,60,59,21,41,356
2014,Dante Cunningham,PF,26,MIN,0,0,12.6,236,0,236,38,83,62,58,42,510
2014,Jared Cunningham,SG,22,TOT,0,0,8.5,6,1,5,13,8,3,0,2,26
2014,Jared Cunningham,SG,22,ATL,0,0,-1.8,1,0,1,0,3,0,0,2,2
2014,Jared Cunningham,SG,22,SAC,0,0,12.4,5,1,4,13,5,3,0,0,24
2014,Seth Curry,PG,23,TOT,0,0,13.8,1,1,0,0,0,2,0,0,3
2014,Seth Curry,PG,23,MEM,0,0,0,0,0,0,0,0,0,0,0,0
2014,Seth Curry,PG,23,CLE,0,0,19.9,1,1,0,0,0,2,0,0,3
2014,Stephen Curry,PG,25,GSW,1,0,24.1,652,261,391,308,666,128,14,294,1873
2014,Samuel Dalembert,C,32,DAL,0,0,16.8,214,0,214,101,38,41,94,90,529
2014,Troy Daniels,SG,22,HOU,0,0,16,15,12,3,0,5,0,0,3,42
2014,Luigi Datome,SF,26,DET,0,0,8,34,7,27,8,11,6,1,11,83
2014,Brandon Davies,PF,22,PHI,0,0,7.5,54,2,52,34,28,24,8,35,144
2014,Anthony Davis,PF,20,NOP,1,0,26.5,522,2,520,348,105,89,189,109,1394
2014,Ed Davis,PF,24,MEM,0,0,15.9,155,0,155,47,27,17,43,40,357
2014,Glen Davis,PF,28,TOT,0,0,13.1,271,4,267,95,77,58,29,76,641
2014,Glen Davis,PF,28,ORL,0,0,13.7,232,4,228,77,70,46,22,59,545
2014,Glen Davis,PF,28,LAC,0,0,10.3,39,0,39,18,7,12,7,17,96
2014,Austin Daye,SF,25,TOT,0,0,11,24,12,12,6,8,4,4,5,66
2014,Austin Daye,SF,25,TOR,0,0,2.4,3,0,3,2,2,0,0,0,8
